feature,mean_abs_shap_all_classes,mean_abs_shap_no_points,mean_abs_shap_podium,mean_abs_shap_points
qualifying_position,0.0868794487167273,0.09228909207463697,0.09846288723499054,0.06988636684055435
grid,0.05308332133122706,0.0518063859643838,0.06032084527098076,0.047122732758316625
driver_std_position_prev,0.036533356583152043,0.04971134872422596,0.03858848318132087,0.021300237843909307
driver_points_avg_last3,0.024268710977757655,0.03340995773105779,0.02500062471064113,0.014395550491574047
constructor_std_position_prev,0.020674053127658302,0.026406514285255558,0.023102169096958662,0.012513476000760696
driver_podium_rate_last10,0.018281787213610658,0.02260474342648607,0.024294578369999698,0.007946039844346206
constructor_avg_position_last3,0.015932013796000715,0.015670780242353907,0.018048416317514554,0.014076844828133685
constructor_std_points_prev,0.012585565239762245,0.017593535542528252,0.009045920129877245,0.011117240046881235
points_gap_to_leader,0.00965787404800683,0.00950258517017031,0.011386542443240012,0.008084494530610166
driver_std_points_prev,0.009527957994851476,0.01265451382778069,0.00740483110647528,0.008524529050298454
driver_avg_position_last3,0.007677993120973207,0.00856298459506793,0.005890652072744683,0.00858034269510701
driver_dnf_rate_historical,0.007607205611833311,0.003780979280890857,0.010197103033551841,0.008843534521057236
driver_age,0.00752373452494248,0.008634981879946624,0.0033251816299592657,0.010611040064921553
points_this_season_prev,0.00702662192517033,0.009689750794175283,0.0037731656039501405,0.0076169493773855694
driver_seasons_in_f1,0.006280697540197829,0.007560116783604476,0.004271527727467932,0.0070104481095210796
driver_podium_rate_last5,0.006019838760367931,0.00595950575263294,0.008424988011759154,0.0036750225167117025
teammate_h2h_avg_position_delta,0.005529815634564614,0.0049829932250510895,0.006229858444959363,0.00537659523368339
driver_avg_position_at_circuit,0.002928134668590862,0.0031755143765939352,0.0022575917369288376,0.0033512978922498127
driver_podium_rate_last3,0.002295377765530047,0.0012794678923237018,0.003036403675422553,0.0025702617288438858
days_since_last_race,0.0022449744700228707,0.0027026197739455516,0.0013870518813919484,0.002645251754731112
sprint_flag,0.0016179104756074078,0.0017769675128057574,0.0014237638818605123,0.0016530000321559532
driver_wins_at_circuit,0.0015662764110028241,0.001912943958684373,0.000940890781520206,0.0018449944928038936
constructor_change_flag,0.00018763793355451702,0.0002259946189999637,0.0001724375401916868,0.00016448164147190049
is_home_race,0.0,0.0,0.0,0.0
is_home_constructor_race,0.0,0.0,0.0,0.0
