feature,mean_abs_shap_all_classes,mean_abs_shap_no_points,mean_abs_shap_podium,mean_abs_shap_points
qualifying_position,0.1153062535739837,0.16369820050568448,0.08111989240433423,0.10110066781193239
grid,0.029215764958661045,0.00666357243449644,0.036347833032715965,0.04463588940877073
constructor_std_position_prev,0.028636963403101,0.040834354371817004,0.0181730540485398,0.026903481788946196
constructor_avg_position_last3,0.02572385627137282,0.033183740319647624,0.024035135624101887,0.019952692870368955
driver_std_position_prev,0.01889725762307271,0.018066989894074185,0.02465415216805629,0.013970630807087651
teammate_h2h_avg_position_delta,0.01698127297296449,0.022813583989908796,0.012019679658382873,0.016110555270601803
driver_podium_rate_last10,0.016750760214303245,0.024617773710716627,0.010637249517548618,0.014997257414644492
driver_avg_position_at_circuit,0.0152210359793788,0.022233966036816134,0.004107779690647413,0.01932136221067285
driver_avg_position_last3,0.014358028966954525,0.007202012627304882,0.01543095145341708,0.020441122820141613
driver_dnf_rate_historical,0.01172868725594315,0.005179517452763103,0.014487664583249172,0.015518879731817176
driver_points_avg_last3,0.011337635675398824,0.016426345122586467,0.004229896718892355,0.01335666518471765
points_gap_to_leader,0.004382815197390849,0.004121151241749512,0.0021095188265134973,0.006917775523909538
