model,strategy,fold,precision,recall,f1,training_time_sec,refit_only_time_sec,search_only_time_sec,svm_n_iter_actual
SVM,No oversampling (class_weight=balanced),1,0.6445254161043634,0.6576719576719577,0.6490567934495776,1.2036890983581543,0.004369020462036133,1.1993200778961182,395.0
SVM,No oversampling (class_weight=balanced),2,0.6337108026731292,0.6880423280423281,0.645321974703418,0.19071412086486816,0.0077250003814697266,0.18298912048339844,1025.0
SVM,No oversampling (class_weight=balanced),3,0.6731453172770948,0.7141798941798942,0.6848535508329322,0.266711950302124,0.014171838760375977,0.25254011154174805,476.0
SVM,No oversampling (class_weight=balanced),4,0.679830432842481,0.7391143780405525,0.6935945122714421,0.36315393447875977,0.021580934524536133,0.34157299995422363,2910.0
SVM,No oversampling (class_weight=balanced),5,0.6488857319910671,0.7013756613756614,0.6571011530786784,0.5274231433868408,0.04210686683654785,0.48531627655029297,5757.0
SVM,SMOTE,1,0.5199660441426146,0.526984126984127,0.5226143226919758,0.23649168014526367,0.050009965896606445,0.18648171424865723,10000.0
SVM,SMOTE,2,0.6526868200753676,0.7186243386243386,0.6634595094936088,0.4260392189025879,0.04354691505432129,0.3824923038482666,160.0
SVM,SMOTE,3,0.6658305639077913,0.712063492063492,0.6763360587747363,0.389110803604126,0.029635906219482422,0.35947489738464355,174.0
SVM,SMOTE,4,0.6737468673790676,0.7273250239693193,0.6898536116162015,0.5811567306518555,0.04862785339355469,0.5325288772583008,1150.0
SVM,SMOTE,5,0.6517831962276407,0.7002116402116402,0.6481944239684178,0.8161599636077881,0.06839227676391602,0.7477676868438721,341.0
SVM,Random oversampling,1,0.6575457879796436,0.6928042328042329,0.6704528059728858,0.16230416297912598,0.0053560733795166016,0.15694808959960938,126.0
SVM,Random oversampling,2,0.647940947940948,0.7151322751322752,0.6621567557737771,0.30695295333862305,0.013374090194702148,0.2935788631439209,181.0
SVM,Random oversampling,3,0.6342953342953344,0.6850793650793651,0.6430080126843909,0.3700737953186035,0.024536848068237305,0.3455369472503662,226.0
SVM,Random oversampling,4,0.6741551939924907,0.7271119633535741,0.6893281065389701,0.5626919269561768,0.040476083755493164,0.5222158432006836,324.0
SVM,Random oversampling,5,0.6693182463029587,0.7217989417989418,0.6804186575098066,0.8425631523132324,0.06749796867370605,0.7750651836395264,2154.0
SVM,Random undersampling,1,0.6424358771222799,0.6751322751322751,0.6505488119438264,0.13293218612670898,0.002324342727661133,0.13060784339904785,25.0
SVM,Random undersampling,2,0.6416931216931218,0.7123809523809523,0.6594487070190395,0.13803911209106445,0.003634929656982422,0.13440418243408203,168.0
SVM,Random undersampling,3,0.6349080251583863,0.6716402116402116,0.6446268929027549,0.16100192070007324,0.004791975021362305,0.15620994567871094,158.0
SVM,Random undersampling,4,0.6620759414877062,0.7166506871204857,0.6759881600424863,0.18432307243347168,0.007296085357666016,0.17702698707580566,83.0
SVM,Random undersampling,5,0.6453463203463202,0.697037037037037,0.6449181286549707,0.22487711906433105,0.010010957717895508,0.21486616134643555,314.0
Random Forest,No oversampling (class_weight=balanced),1,0.675662364471247,0.6887830687830688,0.681100031810065,6.019369840621948,0.4035227298736572,5.615847110748291,
Random Forest,No oversampling (class_weight=balanced),2,0.6615039648476005,0.7034920634920635,0.6754953768867976,6.929583787918091,0.45777416229248047,6.47180962562561,
Random Forest,No oversampling (class_weight=balanced),3,0.7032684597446993,0.737037037037037,0.7155826002400597,7.49363899230957,0.34418463706970215,7.149454355239868,
Random Forest,No oversampling (class_weight=balanced),4,0.6615615604883208,0.7022904016192607,0.676169996300407,8.356605052947998,0.13775324821472168,8.218851804733276,
Random Forest,No oversampling (class_weight=balanced),5,0.7016087974747989,0.736084656084656,0.7127679437802988,8.681473970413208,0.30205416679382324,8.379419803619385,
Random Forest,SMOTE,1,0.6792652878604558,0.7148148148148148,0.691425580110456,6.221512079238892,0.38770604133605957,5.833806037902832,
Random Forest,SMOTE,2,0.6476118652589241,0.7011640211640211,0.6633652340847417,7.608792066574097,0.16712594032287598,7.441666126251221,
Random Forest,SMOTE,3,0.7041050390725202,0.7409523809523811,0.716517652001523,9.7189040184021,0.34098100662231445,9.377923011779785,
Random Forest,SMOTE,4,0.6484721068556322,0.6875963211533681,0.6624155323795229,11.519058227539062,0.5642120838165283,10.954846143722534,
Random Forest,SMOTE,5,0.6787959920490042,0.7138624338624339,0.6874006331826413,11.65335488319397,0.25981998443603516,11.393534898757935,
Random Forest,Random oversampling,1,0.695041054608732,0.743174603174603,0.7112006716623224,5.825224876403809,0.14896607398986816,5.67625880241394,
Random Forest,Random oversampling,2,0.6511544011544012,0.6949206349206349,0.6656534954407295,7.231009006500244,0.509023904800415,6.721985101699829,
