feature,mean_abs_shap
qualifying_position,0.08713370357917281
driver_points_avg_last10,0.029600917144099032
driver_seasons_in_f1,0.019942749683308815
constructor_avg_position_last5,0.01855234194607378
driver_age,0.014343573094291568
constructor_change_flag,0.013746290535002408
grid,0.013526834436049219
constructor_std_position_prev,0.010989411995394048
is_missing_teammate_h2h_avg_position_delta,0.01015921790636076
teammate_h2h_avg_position_delta,0.010008692101728533
driver_podium_rate_last10,0.008600893750273574
constructor_std_points_prev,0.008002137884082144
driver_std_points_prev,0.00658086673882073
driver_dnf_rate_historical,0.006183920132751457
constructorId_214,0.005445129768907428
points_gap_to_leader,0.005369598929887761
driver_avg_position_last3,0.005154185099969937
driver_podium_rate_last5,0.004393085723516395
constructorId_210,0.0032088618392568276
driver_avg_position_last5,0.003149236462061119
driver_wins_at_circuit,0.0026596849820127856
constructorId_131,0.0026479337510572696
driver_std_position_prev,0.002628039902016663
driver_avg_position_at_circuit,0.002432964472628628
driver_avg_position_last10,0.0021603518094855867
constructorId_3,0.002153414099060894
driver_podium_rate_last3,0.0018777788140664602
constructorId_9,0.0017004089666283373
constructorId_15,0.0016809230826301015
circuitId_17,0.001677006046428687
days_since_last_race,0.001583613227218945
is_missing_driver_points_avg_last3,0.0015078350081968292
constructor_avg_position_last3,0.0014866555889942422
constructorId_1,0.0014488265218781818
is_missing_driver_avg_position_last10,0.001435871177810729
driver_points_avg_last3,0.0013107641645921707
points_this_season_prev,0.0012806815876534757
circuitId_1,0.0012585748725675789
is_missing_points_gap_to_leader,0.0011752728357127544
constructorId_51,0.0011402674581093663
is_missing_driver_std_position_prev,0.0011243733047410095
driver_points_avg_last5,0.0010884830157439243
constructorId_215,0.0010588935947965829
circuitId_3,0.0009439223713452445
is_missing_driver_avg_position_at_circuit,0.0009269322760401598
is_missing_days_since_last_race,0.0008892491528681729
is_missing_driver_wins_at_circuit,0.0008655473962949746
is_missing_driver_podium_rate_last10,0.0008576571544808743
is_missing_driver_avg_position_last3,0.0008484689176646635
sprint_flag,0.0008240763795977371
circuitId_22,0.0007739298477301927
is_missing_driver_points_avg_last10,0.0007577902088687263
is_missing_driver_avg_position_last5,0.0007543782300320646
is_missing_driver_dnf_rate_historical,0.0007489786095295338
is_missing_constructor_change_flag,0.0007128713376385357
is_missing_driver_podium_rate_last3,0.0006928889418162872
is_missing_driver_points_avg_last5,0.0006330889489094319
is_missing_driver_podium_rate_last5,0.0006040840651822811
constructorId_6,0.0005186677151190925
is_missing_driver_std_points_prev,0.00032233979384961673
constructorId_117,0.00023887383051639542
circuitId_5,0.0
circuitId_73,0.0
circuitId_71,0.0
circuitId_70,0.0
circuitId_69,0.0
circuitId_39,0.0
circuitId_34,0.0
circuitId_32,0.0
circuitId_24,0.0
circuitId_21,0.0
circuitId_18,0.0
circuitId_14,0.0
circuitId_15,0.0
circuitId_13,0.0
circuitId_11,0.0
circuitId_7,0.0
circuitId_9,0.0
circuitId_4,0.0
constructorId_213,0.0
circuitId_6,0.0
is_missing_qualifying_position,0.0
is_missing_constructor_std_points_prev,0.0
is_missing_constructor_std_position_prev,0.0
is_home_race,0.0
is_home_constructor_race,0.0
circuitId_77,0.0
circuitId_78,0.0
circuitId_75,0.0
is_missing_grid,0.0
circuitId_79,0.0
circuitId_80,0.0
is_missing_constructor_avg_position_last3,0.0
is_missing_constructor_avg_position_last5,0.0
